rev, Ekstazi, rts-trace
rev_38,  36.188, fail
rev_39,  37.435,  3.661
rev_40,  38.071,  7.377
rev_41,  39.171, fail
rev_42,  7.439,  1.348
rev_43,  7.041,  1.310
rev_44,  38.423,  5.143
rev_45,  40.017,  1.288
rev_46,  10.363,  3.690
rev_47,  10.374,  3.086
rev_48,  37.566,  28.812
rev_49,  7.484,  0.826
rev_50,  11.895,  4.127
