rev, Ekstazi, rts-trace
rev_31, 74, fail
rev_33,  43.636,  16.617
rev_34,  44.356,  16.021
rev_35,  2.928,  1.218
rev_36,  4.691,  37.864
rev_37, 71, 64
rev_38, 71, 64
rev_40, 76, 66
rev_41, 76, 64
rev_42, 75, 63
rev_43,  2.961,  1.603
rev_44, 76, 66
rev_45, 72, 66
rev_46, 76, 62
rev_47, 74, 70
rev_48, 77, 65
rev_49,  8.059, 65
rev_50, 74, 65
